,Multiplier Type,Parameters
3,ConstantMultiplier,0.192
5,FittedMultiplier,[0.03521669 0.11279823 0.06351814 0.36847281]
2,FittedMultiplier,[0.01963054 0.03718709 0.02456519 0.44073471]
8,ConstantMultiplier,0.4
1,FittedMultiplier,[0.02972513 0.06387285 0.03916292 0.4839395 ]
10,ConstantMultiplier,0.425
11,ConstantMultiplier,0.135
7,FittedMultiplier,[0.02972513 0.06387285 0.03916292 0.4839395 ]
12,ConstantMultiplier,0.7
13,ConstantMultiplier,0.5
4,FittedMultiplier,[7.35000000e-02 2.65655687e-05 8.22073836e-22 6.25280202e-01]
9,FittedMultiplier,[0.03223504 0.06777433 0.02543134 0.52362466]
14,FittedMultiplier,[0.02972513 0.06387285 0.03916292 0.4839395 ]
16,ConstantMultiplier,0.7258333333333334
15,ConstantMultiplier,0.6766666666666667
6,ConstantMultiplier,0.7525
